zone,model,split,MAE,RMSE,MAPE
Koramangala,BaselineGCN,seen,113.32537317487783,142.94158773606677,21.536294834326387
Koramangala,AdaptiveGNN,seen,115.48659633091194,145.36990643360943,22.58398321247281
Koramangala,TopologyAwareAGNN,seen,114.05403471729743,143.82717435731152,21.41571228354597
SilkBoard,BaselineGCN,seen,106.70253870162526,133.83637308017626,19.018960643369535
SilkBoard,AdaptiveGNN,seen,105.33250257241322,132.69486256529342,18.218770347270237
SilkBoard,TopologyAwareAGNN,seen,104.40435957639936,131.2923409627253,18.0342252209605
MGRoad_CBD,BaselineGCN,seen,100.28535178821556,126.83108187767641,19.943402020844548
MGRoad_CBD,AdaptiveGNN,seen,104.56361526094034,131.92087651535755,19.074958946259898
MGRoad_CBD,TopologyAwareAGNN,seen,101.33528013643199,128.2677194145837,19.022889476217415
Indiranagar,BaselineGCN,seen,98.00413946594715,124.01020302511098,21.59851697554146
Indiranagar,AdaptiveGNN,seen,103.65333391224027,130.49652639140038,23.179199786787613
Indiranagar,TopologyAwareAGNN,seen,100.96130718698966,127.66953064208829,22.296156063655626
Jayanagar,BaselineGCN,seen,92.35418494527329,116.65194993853899,22.191362808643007
Jayanagar,AdaptiveGNN,seen,96.52360773513101,120.21025199961211,22.780600755477394
Jayanagar,TopologyAwareAGNN,seen,94.29505001903327,118.09787763716598,21.899930937809746
Malleshwaram,BaselineGCN,seen,89.65349744687522,111.95987717388046,24.80852009238593
Malleshwaram,AdaptiveGNN,seen,92.74774223126741,115.83573392124202,23.853424979021565
Malleshwaram,TopologyAwareAGNN,seen,92.03705720469895,114.42984402370396,24.25517770710178
Hebbal,BaselineGCN,seen,86.20123632312678,107.43197280373943,24.019261809435058
Hebbal,AdaptiveGNN,seen,90.16313512060385,111.8676993660008,24.96497384254479
Hebbal,TopologyAwareAGNN,seen,88.60927392971449,109.95690306530207,24.62895875852383
