test_zone,trained_on,model,MAE,RMSE,MAPE
Whitefield,Koramangala,BaselineGCN,81.22048314287272,101.55792976235892,21.807591576279812
Whitefield,SilkBoard,BaselineGCN,88.21811913540624,110.45852823581708,25.139151014015876
Whitefield,MGRoad_CBD,BaselineGCN,80.58554964010747,100.85790046293289,22.35166427954386
Whitefield,Indiranagar,BaselineGCN,77.22302815053375,96.90761391447535,20.78880501121667
Whitefield,Jayanagar,BaselineGCN,76.61597882635814,96.21410090423679,20.8966231988805
Whitefield,Malleshwaram,BaselineGCN,76.08159334991399,95.75045434360551,20.727433237991786
Whitefield,Hebbal,BaselineGCN,75.56494996247973,95.26521681769665,20.101646587718342
Whitefield,Koramangala,AdaptiveGNN,80.94342138366886,101.37944934244064,22.432015974490106
Whitefield,SilkBoard,AdaptiveGNN,82.20336838672026,103.68019275968808,21.845536895010785
Whitefield,MGRoad_CBD,AdaptiveGNN,82.7319808012031,103.56261560623943,20.659307729052163
Whitefield,Indiranagar,AdaptiveGNN,79.15785363208427,99.1550587871596,21.833210614926536
Whitefield,Jayanagar,AdaptiveGNN,77.77403554326686,97.69045603036835,20.814646377185426
Whitefield,Malleshwaram,AdaptiveGNN,77.92771994148897,98.09826739285377,19.941673564795146
Whitefield,Hebbal,AdaptiveGNN,77.11996654756273,97.24118296171552,20.588267643886095
Whitefield,Koramangala,TopologyAwareAGNN,77.95936172702646,98.12765052045529,20.616568669758774
Whitefield,SilkBoard,TopologyAwareAGNN,79.73722840381618,100.14557252265934,22.085453988639884
Whitefield,MGRoad_CBD,TopologyAwareAGNN,77.5586809201079,97.65111545021402,20.278434030022467
Whitefield,Indiranagar,TopologyAwareAGNN,76.87761391154294,96.68202128841236,20.647198545901595
Whitefield,Jayanagar,TopologyAwareAGNN,76.43670086587416,96.29325999435167,20.121583071638884
Whitefield,Malleshwaram,TopologyAwareAGNN,76.95402549114539,96.73258509293396,20.019868970953507
Whitefield,Hebbal,TopologyAwareAGNN,76.16831784084273,95.8609872877932,20.285457757292843
ElectronicCity,Koramangala,BaselineGCN,77.56950067200927,97.05284761210264,22.408847669259043
ElectronicCity,SilkBoard,BaselineGCN,84.2609004253326,104.81291486210903,26.09274055608044
ElectronicCity,MGRoad_CBD,BaselineGCN,77.51309015580784,96.89666617372538,23.199166679888428
ElectronicCity,Indiranagar,BaselineGCN,73.67207916540714,92.21471570233665,21.47905924272677
ElectronicCity,Jayanagar,BaselineGCN,73.03628767896768,91.45600643501173,21.63859815257445
ElectronicCity,Malleshwaram,BaselineGCN,72.36123055644788,90.74341238735545,21.520571917893545
ElectronicCity,Hebbal,BaselineGCN,72.12649496367135,90.50113433920102,20.88401270928694
ElectronicCity,Koramangala,AdaptiveGNN,79.31546928025986,98.93881187071342,23.812030468500357
ElectronicCity,SilkBoard,AdaptiveGNN,79.46695277413872,99.8642610505749,22.842600573276236
ElectronicCity,MGRoad_CBD,AdaptiveGNN,80.89694930663866,101.14542439165307,21.65217490864467
ElectronicCity,Indiranagar,AdaptiveGNN,77.22829187900032,96.30447341557368,23.127563826451894
ElectronicCity,Jayanagar,AdaptiveGNN,75.29682233865775,94.30485966344614,21.84972003447425
ElectronicCity,Malleshwaram,AdaptiveGNN,75.40380143505757,94.73783876769437,20.82328794903011
ElectronicCity,Hebbal,AdaptiveGNN,74.71821762496111,93.71322452635798,21.783073249929824
ElectronicCity,Koramangala,TopologyAwareAGNN,74.29711998335361,93.26050871158033,21.29275182232165
ElectronicCity,SilkBoard,TopologyAwareAGNN,76.50140661490234,95.48088838919462,23.14209726541688
ElectronicCity,MGRoad_CBD,TopologyAwareAGNN,73.79589958817749,92.72496663710092,20.912490083870967
ElectronicCity,Indiranagar,TopologyAwareAGNN,73.83403929887618,92.61955445327327,21.505542659173667
ElectronicCity,Jayanagar,TopologyAwareAGNN,73.37759406533978,92.16122704690122,20.91433732225305
ElectronicCity,Malleshwaram,TopologyAwareAGNN,74.00400406690976,92.82428318126442,20.773273545260434
ElectronicCity,Hebbal,TopologyAwareAGNN,73.19102131413183,91.8651235420714,21.1719941190127
Yelahanka,Koramangala,BaselineGCN,74.228814487605,92.49895671961303,23.43861351446511
Yelahanka,SilkBoard,BaselineGCN,82.26179905373424,103.13696204519402,27.62571100950353
Yelahanka,MGRoad_CBD,BaselineGCN,73.4856534258712,92.0513298464652,24.006904977501105
Yelahanka,Indiranagar,BaselineGCN,68.52324267286143,85.65841177505946,21.93618509249345
