zone,N,E,avg_degree,density,clustering_coeff,avg_shortest_path,diameter,betweenness_mean,closeness_mean,spectral_gap
Koramangala,26,58,4.461538461538462,0.17846153846153845,0.22545787545787543,2.6123076923076924,6,0.06717948717948719,0.39192947958480845,0.11570581188917464
SilkBoard,22,48,4.363636363636363,0.2077922077922078,0.27445887445887446,2.3203463203463204,5,0.06601731601731602,0.4370145535429598,0.172339354168814
Indiranagar,24,51,4.25,0.18478260869565216,0.1597222222222222,2.4057971014492754,5,0.06389986824769434,0.4230679911782689,0.199115482927627
MGRoad_CBD,28,63,4.5,0.16666666666666666,0.267687074829932,2.6455026455026456,6,0.06328856328856329,0.38738505102158927,0.13963902934568617
Whitefield,20,38,3.8,0.2,0.23166666666666663,2.5894736842105264,6,0.08830409356725145,0.39332293096255655,0.1400550172641627
ElectronicCity,18,33,3.6666666666666665,0.21568627450980393,0.20555555555555557,2.549019607843137,6,0.09681372549019607,0.4018230013008449,0.1259317604459701
Hebbal,20,40,4.0,0.21052631578947367,0.13476190476190475,2.3,4,0.0722222222222222,0.4421843944169777,0.22794324594709925
Yelahanka,16,29,3.625,0.24166666666666667,0.14375,2.216666666666667,4,0.08690476190476193,0.45967078542146766,0.24054737864190212
Jayanagar,22,46,4.181818181818182,0.19913419913419914,0.20216450216450219,2.406926406926407,5,0.07034632034632034,0.4258978816036747,0.1810353336660822
Malleshwaram,19,38,4.0,0.2222222222222222,0.20964912280701756,2.2690058479532165,5,0.07464740282077742,0.45264977758483727,0.2156348230048426
